Titles;Links;Budget;Gross_Us;Opening_Week_Rev;Opening_Week_Date;Gross_World;Runtime;Color;Sound_Mix;Aspect_Ratio
1. Inside Out 2;http://www.imdb.com/title/tt22022452/?ref_=chtbo_t_1;200000000;154201673;154201673;16/06/2024 00:00;294203351;1 hour 36 minutes;Color;Dolby DigitalDolby AtmosSonics-DDPAuro 11.112-Track Digital SoundD-Cinema 96kHz Dolby Surround 7.1D-Cinema 96kHz 7.1;2.39 : 1
2. Bad Boys: Ride or Die;http://www.imdb.com/title/tt4919268/?ref_=chtbo_t_2;100000000;113005977;56527324;09/06/2024 00:00;215405977;1 hour 55 minutes;Color;Dolby DigitalIMAX 6-TrackDolby Atmos;2.39 : 1
3. Kingdom of the Planet of the Apes;http://www.imdb.com/title/tt11389872/?ref_=chtbo_t_3;160000000;158137597;58400788;12/05/2024 00:00;375231415;2 hours 25 minutes;Color;Dolby Digital12-Track Digital SoundDolby AtmosIMAX 6-TrackDolby Surround 7.1;2.39 : 1
4. The Garfield Movie;http://www.imdb.com/title/tt5779228/?ref_=chtbo_t_4;60000000;78289820;24006629;26/05/2024 00:00;217489820;1 hour 41 minutes;Color;Dolby DigitalDolby AtmosD-Cinema 96kHz 7.1Dolby Surround 7.1Auro 11.112-Track Digital SoundDTS:X;1.85 : 1
5. IF;http://www.imdb.com/title/tt11152168/?ref_=chtbo_t_5;110000000;101054309;33715801;19/05/2024 00:00;173654309;1 hour 44 minutes;Color;Dolby DigitalD-Cinema 96kHz 7.1Auro 11.1Dolby Atmos12-Track Digital SoundDolby Surround 7.1;1:1.85 DCP flat
6. The Watchers;http://www.imdb.com/title/tt26736843/?ref_=chtbo_t_6;None;13513326;7003537;09/06/2024 00:00;23013326;1 hour 42 minutes;Color;Dolby Digital;1.85 : 1
7. Furiosa: A Mad Max Saga;http://www.imdb.com/title/tt12037194/?ref_=chtbo_t_7;168000000;63342854;26326462;26/05/2024 00:00;160342854;2 hours 28 minutes;Color;IMAX 6-TrackDolby Surround 7.1Dolby AtmosAuro 11.1D-Cinema 96kHz Dolby Surround 7.1Sonics-DDPDTS:XDolby Digital12-Track Digital Sound;2.39 : 1
8. The Fall Guy;http://www.imdb.com/title/tt1684562/?ref_=chtbo_t_8;125000000;88050135;27747035;05/05/2024 00:00;170165135;2 hours 6 minutes;Color;Dolby AtmosIMAX 6-Track;2.39 : 1
9. The Strangers: Chapter 1;http://www.imdb.com/title/tt22050754/?ref_=chtbo_t_9;None;33895338;11825058;19/05/2024 00:00;40125293;1 hour 31 minutes;Color;None;2.39:1
10. The Lord of the Rings: The Fellowship of the Ring;http://www.imdb.com/title/tt0120737/?ref_=chtbo_t_10;93000000;319205075;47211490;23/12/2001 00:00;887184080;2 hours 58 minutes;Color;DTSSDDS;2.39 : 1
